model;type;price;km;location;year;link
Audi A3;35 TFSi Prestige Sportback S-tr.;371900;9.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738297
Audi A3;35 TFSi Prestige Sportback S-tr.;371900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738303
Audi A3;35 TFSi Prestige S-tr.;381900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738316
Audi A3;35 TFSi Prestige Sportback S-tr.;371900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738301
Audi A3;35 TFSi Prestige Sportback S-tr.;371900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738308
Audi A3;35 TFSi Prestige Sportback S-tr.;377900;7.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1737951
Audi A3;35 TFSi Prestige S-tr.;382900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1737956
Audi A3;35 TFSi Prestige S-tr.;382900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1737968
Audi A3;35 TFSi Prestige S-tr.;382900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1737978
Audi A4;40 TFSi Advanced+ Avant S-tr.;429900;8.000;Kastrup;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced--avant-s-tr/1738714
Audi A4;40 TFSi Prestige+ Avant S-tr.;429900;4.000;Kastrup;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1738745
Audi Q3;35 TFSi Advanced S-tr.;389900;5.000;Kastrup;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738733
Audi A5;40 TFSi Prestige+ Sportback S-tr.;509900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1738690
Audi A3;35 TFSi Prestige S-tr.;379900;10.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738064
Audi A3;35 TFSi Prestige S-tr.;379900;11.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738068
Audi A3;35 TFSi Prestige S-tr.;379900;8.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738075
Audi A3;35 TFSi Prestige S-tr.;379900;14.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738080
Audi A3;35 TFSi Prestige S-tr.;373900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738312
Audi A3;35 TFSi Prestige S-tr.;381900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738315
Audi A4;40 TFSi Prestige+ Avant S-tr.;453900;9.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1738664
Audi A4;40 TFSi Prestige+ Avant S-tr.;503900;4.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1738668
Audi A3;35 TFSi Prestige Sportback S-tr.;347900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738190
Audi A3;35 TFSi Prestige S-tr.;357900;9.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738191
Audi A3;35 TFSi Prestige S-tr.;377900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738197
Audi A3;35 TFSi Prestige S-tr.;369900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738211
Audi Q3;35 TFSi Advanced S-tr.;419900;11.000;Odense;2021;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738777
Audi A3;35 TFSi Prestige S-tr.;359900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1763855
Audi A3;35 TFSi Prestige Sportback S-tr.;339900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1763856
Audi A1;35 TFSi Sportback S-tr.;259900;64.000;Fredericia;2019;https://www.biltorvet.dk/bil/audi/a1/35-tfsi-sportback-s-tr/1766503
Audi Q2;35 TFSi Prestige S-tr.;344900;4.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1775380
Audi Q5;45 TFSi Sport quattro S-tr.;649900;9.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/q5/45-tfsi-sport-quattro-s-tr/1738188
Audi A3;1,4 TFSi 140 Ambition Sportback S-tr.;209900;82.000;Søborg;2014;https://www.biltorvet.dk/bil/audi/a3/1-4-tfsi-140-ambition-sportback-s-tr/1776656
Audi Q3;35 TFSi Advanced S-tr.;394900;8.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738759
Audi Q2;35 TFSi Prestige S-tr.;342900;8.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1759597
Audi Q2;35 TFSi Prestige S-tr.;339900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1776753
Audi Q2;35 TFSi Prestige S-tr.;335900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1737991
Audi Q2;35 TFSi Prestige S-tr.;335900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738006
Audi Q3;35 TFSi Advanced S-tr.;364900;15.000;Risskov;2019;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738330
Audi A3;35 TFSi Prestige Sportback S-tr.;349900;7.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738794
Audi A3;40 TFSi Sport Limited S-tr.;324900;26.000;Risskov;2019;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-sport-limited-s-tr/1751700
Audi A6;45 TFSi Sport Avant S-tr.;549900;26.000;Kokkedal;2019;https://www.biltorvet.dk/bil/audi/a6/45-tfsi-sport-avant-s-tr/1760013
Audi Q2;35 TFSi Prestige S-tr.;339900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1776754
Audi Q2;35 TFSi Prestige S-tr.;334900;8.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1776755
Audi RS Q8;4,0 TFSi quattro Tiptr.;2595900;24.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/rs-q8/4-0-tfsi-quattro-tiptr/1773458
Audi A5;40 TFSi Prestige+ Sportback S-tr.;488900;8.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1738335
Audi A4;40 TFSi Prestige+ Avant S-tr.;448900;13.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1738663
Audi A4;40 TFSi Prestige+ Avant S-tr.;489900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-prestige--avant-s-tr/1738666
Audi S3;2,0 TFSi Sportback quattro S-tr.;689900;12.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/s3/2-0-tfsi-sportback-quattro-s-tr/1738700
Audi A5;40 TFSi Advanced+ Sportback S-tr.;469900;6.000;Kastrup;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-advanced--sportback-s-tr/1774505
Audi A5;40 TFSi Advanced Sportback S-tr.;449900;11.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-advanced-sportback-s-tr/1738059
