Audi A5 40 TFSi Advanced Sportback S-tr. ;2.000;2020;Fyn;19,0 km/l
Audi SQ5 3,0 TDi 326 Competition quattro Tiptr. ;97.000;2016;Nordjylland;15,2 km/l
Audi A6 40 TDi Sport Avant S-tr. ;10.000;2021;København;24,4 km/l
Audi A6 allroad 3,0 TDi 204 quattro S-tr. ;172.000;2014;Syd- og Sønderjylland;16,4 km/l
Audi A4 40 TFSi Advanced+ Avant S-tr. ;9.000;2020;Østjylland;18,9 km/l
Audi Q8 50 TDi quattro Tiptr. ;25.000;2019;Nordjylland;16,2 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;78.000;2018;Syd- og Sønderjylland;17,5 km/l
Audi A6 allroad 3,0 TDi 320 quattro Tiptr. ;132.000;2016;Syd- og Sønderjylland;15,4 km/l
Audi A6 allroad 50 TDi quattro Tiptr. ;11.000;2021;Syd- og Sønderjylland;19,0 km/l
Audi A4 2,0 TDi 136 Avant ;187.000;2013;Syd- og Sønderjylland;21,3 km/l
Audi A6 3,0 TDi 313 S-line quattro Tiptr. ;214.000;2014;Østjylland;15,9 km/l
Audi A4 40 TFSi Advanced+ Avant S-tr. ;8.000;2020;København;14,7 km/l
Audi Q3 35 TFSi Advanced S-tr. ;9.000;2020;Syd- og Sønderjylland;18,6 km/l
Audi A3 2,0 TDi 150 Ambiente Cabriolet S-tr. ;66.000;2015;Vestjylland;21,7 km/l
Audi A5 40 TDi Prestige+ Sportback S-tr. ;16.000;2021;Syd- og Sønderjylland;24,4 km/l
Audi Q5 3,0 TDi 258 quattro S-tr. ;85.000;2017;Nordjylland;16,9 km/l
Audi SQ5 3,0 TDi 326 quattro Tiptr. ;27.000;2017;Østjylland;15,2 km/l
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;116.000;2016;Syd- og Sønderjylland;22,7 km/l
Audi A6 50 TDi Sport Prestige Avant quattro Tiptr. ;28.000;2021;Syd- og Sønderjylland;19,0 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;36.500;2017;Syd- og Sønderjylland;12,0 km/l
Audi A3 1,4 e-tron Sport Sportback S-tr. ;55.000;2018;Fyn;33,8 km/l
Audi A3 1,4 e-tron S-line Sportback S-tr. ;27.000;2017;Nordsjælland;33,8 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;36.000;2017;Syd- og Sønderjylland;12,0 km/l
Audi S6 3,0 TDi Avant quattro Tiptr. ;8.000;2020;Syd- og Sønderjylland;16,9 km/l
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;58.000;2017;Syd- og Sønderjylland;20,0 km/l
Audi SQ7 4,0 TDi quattro Tiptr. ;49.000;2018;Syd- og Sønderjylland;13,9 km/l
Mercedes E63 4,0 AMG S stc. aut. 4Matic+ ;37.000;2018;Fyn;10,6 km/l
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;37.000;2017;Østjylland;13,2 km/l
Audi A3 35 TFSi Prestige Sportback S-tr. ;7.000;2021;Fyn;22,9 km/l
Audi Q3 35 TFSi Advanced S-tr. ;15.000;2019;Østjylland;19,0 km/l
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;102.000;2016;København;22,7 km/l
Audi SQ7 4,0 TDi quattro Tiptr. ;35.000;2018;Syd- og Sønderjylland;13,9 km/l
Audi SQ7 4,0 TDi quattro Tiptr. ;69.000;2017;Østjylland;13,9 km/l
Audi A7 3,0 TDi 245 Sportback quattro S-tr. ;180.000;2012;Syd- og Sønderjylland;16,9 km/l
Audi A3 30 TFSi Sport Sportback S-tr. ;49.000;2019;Syd- og Sønderjylland;21,6 km/l
Audi Q3 35 TFSi Advanced S-tr. ;8.000;2020;Syd- og Vestsjælland;18,6 km/l
Audi A5 40 TDi Prestige+ Sportback S-tr. ;12.000;2020;Syd- og Sønderjylland;26,2 km/l
Audi A6 50 TDi Sport Avant quattro Tiptr. ;7.000;2020;Østjylland;18,6 km/l
Audi A5 40 TDi Advanced Sportback S-tr. ;13.000;2020;Syd- og Sønderjylland;26,2 km/l
Audi e-tron 50 Advanced quattro ;4.000;2021;København;-
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;130.000;2017;Østjylland;18,9 km/l
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;130.000;2017;Østjylland;18,9 km/l
Audi RS3 2,5 TFSi Sportback quattro S-tr. ;42.000;2017;Syd- og Sønderjylland;11,9 km/l
Audi A6 1,8 TFSi 190 Ultra S-line S-tr. ;208.000;2015;Østjylland;17,5 km/l
Audi SQ5 3,0 TDi 326 quattro Tiptr. ;149.000;2016;Syd- og Sønderjylland;15,2 km/l
Audi S6 3,0 TDi Avant quattro Tiptr. ;12.000;2020;Nordjylland;16,9 km/l
Audi A6 3,0 TDi 326 Avant quattro Tiptr. ;82.000;2016;Nordjylland;15,6 km/l
Audi Q5 50 TDi Sport quattro Tiptr. ;10.000;2020;Østjylland;18,0 km/l
Audi A2 1,6 FSi ;220.000;2005;Syd- og Sønderjylland;16,9 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;38.000;2018;Syd- og Sønderjylland;17,5 km/l
Audi A8 4,2 TDi 350 quattro Tiptr. ;87.000;2011;Syd- og Sønderjylland;13,5 km/l
Audi Q5 2,0 TDi 190 quattro S-tr. ;43.000;2017;Syd- og Sønderjylland;20,4 km/l
Audi A4 3,0 TDi 272 Sport Avant quattro Tiptr. ;105.000;2015;København;19,6 km/l
Audi A7 3,0 TDi 204 Sportback quattro S-tr. ;175.000;2012;Syd- og Sønderjylland;17,2 km/l
Audi A7 3,0 TDi 204 Sportback quattro S-tr. ;175.000;2012;Syd- og Sønderjylland;17,2 km/l
