model;type;price;km;location;year;link
Audi A3;35 TDi Prestige Sportback S-tr.;369900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738219
Audi Q3;35 TDi Sportback S-tr.;409900;24.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/q3/35-tdi-sportback-s-tr/1738254
Audi A3;35 TDi Prestige S-tr.;384900;10.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-s-tr/1765695
Audi S6;3,0 TDi Avant quattro Tiptr.;1397100;8.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/s6/3-0-tdi-avant-quattro-tiptr/1738042
Audi Q3;35 TDi Prestige S-tr.;389900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-prestige-s-tr/1738242
Audi Q3;35 TDi Prestige S-tr.;399900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-prestige-s-tr/1761955
Audi A3;35 TDi Prestige Sportback S-tr.;369000;12.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738077
Audi A4;2,0 TDi 190 Avant S-tr.;299900;93.000;Fredericia;2018;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-190-avant-s-tr/1738146
Audi A4;40 TDi Prestige+ Avant S-tr.;434900;5.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1746294
Audi A3;35 TDi Prestige Sportback S-tr.;369000;12.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738076
Audi A3;35 TDi Prestige Sportback S-tr.;369000;11.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738078
Audi A5;40 TDi Advanced Sportback S-tr.;479900;9.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738056
Audi A5;40 TDi Advanced Sportback S-tr.;479900;11.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738061
Audi A5;40 TDi Advanced Sportback S-tr.;474900;14.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738067
Audi A4;40 TDi Advanced+ Avant S-tr.;461900;14.000;Kokkedal;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-advanced--avant-s-tr/1738662
Audi A5;40 TDi Advanced Sportback S-tr.;479900;13.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1772355
Audi A4;35 TDi Advanced S-tr.;399900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-advanced-s-tr/1776062
Audi A5;40 TDi Advanced Sportback S-tr.;479900;15.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738066
Audi A5;40 TDi Advanced Sportback S-tr.;479900;13.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738071
Audi A5;40 TDi Advanced Sportback S-tr.;479900;11.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738082
Audi A5;40 TDi Advanced Sportback S-tr.;469900;11.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-advanced-sportback-s-tr/1738147
Audi A5;40 TDi Prestige+ Sportback S-tr.;483900;10.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-prestige--sportback-s-tr/1738302
Audi A6;50 TDi Sport Avant quattro Tiptr.;694900;12.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-avant-quattro-tiptr/1738223
Audi S6;3,0 TDi Avant quattro Tiptr.;1199900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/s6/3-0-tdi-avant-quattro-tiptr/1738665
Audi SQ5;3,0 TDi 313 quattro Tiptr.;479000;88.000;Holbæk;2015;https://www.biltorvet.dk/bil/audi/sq5/3-0-tdi-313-quattro-tiptr/1760595
Audi A3;35 TDi Prestige S-tr.;424900;12.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-s-tr/1738063
Audi A6;40 TDi Sport Avant S-tr.;679900;10.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738727
Audi A4;40 TDi Prestige+ Avant S-tr.;444900;14.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1738088
Audi Q3;2,0 TDi 184 Sport quattro;234900;78.000;Risskov;2016;https://www.biltorvet.dk/bil/audi/q3/2-0-tdi-184-sport-quattro/1759863
Audi A6;40 TDi Sport Avant S-tr.;549900;6.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738296
Audi A3;30 TDi Sport Limited Sportback;279900;8.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a3/30-tdi-sport-limited-sportback/1760299
Audi A3;35 TDi Prestige Sportback S-tr.;384900;15.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738173
Audi A3;35 TDi Prestige Sportback S-tr.;376900;16.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738177
Audi A4;40 TDi Prestige+ Avant S-tr.;469900;6.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1738182
Audi A4;40 TDi Advanced+ Avant S-tr.;474900;8.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-advanced--avant-s-tr/1738184
Audi A3;35 TDi Prestige Sportback S-tr.;394900;8.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-prestige-sportback-s-tr/1738215
Audi A6;40 TDi Sport Avant S-tr.;619900;21.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738329
Audi A6;40 TDi Sport Avant S-tr.;629900;5.000;Kastrup;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1746295
Audi A4;40 TDi Prestige+ Avant S-tr.;469900;15.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1746299
Audi A4;40 TDi Prestige+ Avant S-tr.;434900;7.000;Odense;2021;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1770893
Audi Q5;35 TDi Prestige S-tr.;639900;10.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/q5/35-tdi-prestige-s-tr/1771163
Audi A6;40 TDi Sport S-tr.;499900;12.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-s-tr/1737963
Audi A3;35 TDi S-line Sportback S-tr.;396900;6.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-s-line-sportback-s-tr/1757295
Audi A3;35 TDi S-line Sportback S-tr.;414900;14.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-s-line-sportback-s-tr/1738210
Audi A6;50 TDi Sport Prestige Avant quattro Tiptr.;819000;28.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a6/50-tdi-sport-prestige-avant-quattro-tiptr/1738134
Audi A6;3,0 TDi 218 S-tr.;394900;51.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/a6/3-0-tdi-218-s-tr/1738218
Audi Q3;35 TDi Prestige Sportback S-tr.;424900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-prestige-sportback-s-tr/1765526
Audi A5;40 TDi Prestige+ Sportback S-tr.;494900;12.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a5/40-tdi-prestige--sportback-s-tr/1738093
Audi A4;35 TDi Advanced S-tr.;399900;9.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/35-tdi-advanced-s-tr/1738179
Audi Q3;35 TDi Prestige Sportback S-tr.;429900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-prestige-sportback-s-tr/1765525
Audi Q3;35 TDi Advanced Prestige S-tr.;429900;14.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-advanced-prestige-s-tr/1768498
