model;price;km;location;year
Audi A3 1,4 e-tron Sport Sportback S-tr. ;239.800 kr.;51.000;Syd- og Sønderjylland;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;229.999 kr.;41.000;København;2018
Audi A6 50 TFSi e Sport quattro S-tr. ;506.900 kr.;11.000;Østjylland;2020
Audi A6 50 TFSi e Sport quattro S-tr. ;507.900 kr.;8.000;Østjylland;2020
Audi A3 1,4 e-tron S-line Sportback S-tr. ;264.900 kr.;45.000;Syd- og Sønderjylland;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;244.800 kr.;43.000;Syd- og Sønderjylland;2018
Audi A3 40 TFSi e S-line Sportback S-tr. ;309.880 kr.;16.000;Østjylland;2020
Audi A3 1,4 e-tron Attraction Sportback S-tr. ;249.900 kr.;52.000;København;2015
Audi A3 1,4 e-tron Sportback S-tr. ;209.900 kr.;63.000;Fyn;2017
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A3 45 TFSi e S-line Sportback S-tr. ;414.900 kr.;6.000;København;2021
Audi A3 40 TFSi e S-line Sportback S-tr. ;379.900 kr.;8.000;København;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;269.000 kr.;46.000;København;2017
Audi A3 1,4 e-tron Sportback S-tr. ;209.800 kr.;33.000;Syd- og Sønderjylland;2017
Audi A3 40 TFSi e Sportback S-tr. ;339.900 kr.;8.000;Østjylland;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;209.900 kr.;71.000;Fyn;2016
Audi A3 1,4 e-tron S-line Sportback S-tr. ;284.900 kr.;35.000;Nordsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;219.900 kr.;36.000;Fyn;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;239.800 kr.;58.000;Nordjylland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;224.800 kr.;41.000;Nordjylland;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;229.800 kr.;25.000;Nordjylland;2017
Audi A3 1,4 e-tron Sportback S-tr. ;219.800 kr.;65.000;Nordjylland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;214.800 kr.;85.000;Nordjylland;2018
Audi A6 50 TFSi e Sport quattro S-tr. ;506.900 kr.;11.000;Østjylland;2020
Audi A6 50 TFSi e Sport quattro S-tr. ;507.900 kr.;8.000;Østjylland;2020
Audi A6 50 TFSi e Sport Prestige quattro S-tr. ;509.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e Attitude+ S-tr. ;366.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e S-line+ S-tr. ;434.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;219.800 kr.;29.000;Syd- og Sønderjylland;2018
Audi A3 1,4 e-tron Attraction Sportback S-tr. ;199.900 kr.;104.000;Østjylland;2015
Audi A3 1,4 e-tron S-line Sportback S-tr. ;279.900 kr.;56.000;Nordsjælland;2018
Audi A3 1,4 e-tron Sport Sportback S-tr. ;244.800 kr.;43.000;Syd- og Sønderjylland;2018
Audi A3 1,4 e-tron S-line Sportback S-tr. ;279.900 kr.;33.000;Syd- og Sønderjylland;2018
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;224.000 kr.;36.000;Østjylland;2018
Audi A3 1,4 e-tron Sport Sportback S-tr. ;269.900 kr.;21.000;Nordsjælland;2018
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A3 45 TFSi e S-line Sportback S-tr. ;438.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e S-line+ S-tr. ;434.900 kr.;6.000;Østjylland;2021
Audi A3 40 TFSi e Prestige Sportback S-tr. ;361.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e Attitude+ Sportback S-tr. ;380.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e Attitude+ Sportback S-tr. ;380.900 kr.;6.000;Østjylland;2021
Audi A3 40 TFSi e Prestige Sportback S-tr. ;362.900 kr.;6.000;København;2021
Audi A3 40 TFSi e Sport Sportback S-tr. ;349.900 kr.;17.000;Østjylland;2020
Audi Q3 45 TFSi e Attitude+ S-tr. ;370.900 kr.;6.000;Østjylland;2021
Audi A3 40 TFSi e Sportback S-tr. ;344.900 kr.;8.000;Syd- og Sønderjylland;2021
Audi A3 40 TFSi e Sportback S-tr. ;359.000 kr.;3.000;Syd- og Sønderjylland;2021
Audi A3 40 TFSi e S-line Sportback S-tr. ;429.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A3 40 TFSi e S-line Sportback S-tr. ;381.900 kr.;6.000;Østjylland;2021
Audi A3 40 TFSi e S-line Sportback S-tr. ;381.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;239.800 kr.;58.000;Nordjylland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;224.800 kr.;41.000;Nordjylland;2017
Audi A3 1,4 e-tron S-line Sportback S-tr. ;264.900 kr.;45.000;Syd- og Sønderjylland;2017
Audi A3 40 TFSi e Sportback S-tr. ;319.900 kr.;10.000;Syd- og Sønderjylland;2020
Audi A3 40 TFSi e Prestige Sportback S-tr. ;354.900 kr.;16.000;Nordjylland;2021
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;6.000;Nordjylland;2021
Audi A6 50 TFSi e Sport quattro S-tr. ;539.900 kr.;12.000;Syd- og Sønderjylland;2020
Audi A3 1,4 e-tron Attraction Sportback S-tr. ;249.900 kr.;52.000;København;2015
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;239.900 kr.;63.000;København;2017
Audi A3 1,4 e-tron Sportback S-tr. ;259.900 kr.;44.000;Syd- og Sønderjylland;2017
Audi A3 1,4 e-tron Sportback S-tr. ;299.900 kr.;16.000;Syd- og Sønderjylland;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;269.900 kr.;61.000;Syd- og Sønderjylland;2017
Audi Q3 45 TFSi e Attitude+ S-tr. ;366.900 kr.;6.000;Østjylland;2021
Audi A3 40 TFSi e S-line Sportback S-tr. ;381.900 kr.;6.000;Østjylland;2021
Audi Q3 45 TFSi e S-line+ S-tr. ;434.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;229.800 kr.;32.000;Syd- og Sønderjylland;2018
