model;price;km;location;year
Audi A6 3,0 TDi 313 Avant quattro Tiptr. ;299.800 kr.;146.000;Østjylland;2013
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.179.900 kr.;89.000;Syd- og Vestsjælland;2017
Audi A5 2,0 TDi 177 Sportback Multitr. ;169.900 kr.;206.000;Syd- og Sønderjylland;2013
Audi A8 50 TDi quattro Tiptr. ;999.900 kr.;82.000;Syd- og Sønderjylland;2018
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;329.900 kr.;94.000;Syd- og Sønderjylland;2017
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;939.900 kr.;63.000;Nordjylland;2018
Audi A6 40 TDi Avant S-tr. ;469.800 kr.;84.000;Syd- og Sønderjylland;2019
Audi A6 2,0 TDi 177 Multitr. ;189.900 kr.;189.000;Syd- og Sønderjylland;2012
Audi Q7 3,0 TDi 245 S-line quattro Tiptr. 7prs ;199.900 kr.;119.000;Østjylland;2013
Audi Q3 35 TDi Sportback S-tr. ;409.900 kr.;24.000;Nordjylland;2020
Audi A3 35 TDi S-line Sportback S-tr. ;494.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A4 3,0 TDi 218 Sport Avant S-tr. ;309.900 kr.;124.000;Syd- og Sønderjylland;2016
Audi SQ5 3,0 TDi 326 Competition quattro Tiptr. ;559.900 kr.;97.000;Nordjylland;2016
Audi A6 40 TDi Sport Avant S-tr. ;679.900 kr.;10.000;København;2021
Audi A6 allroad 3,0 TDi 204 quattro S-tr. ;319.900 kr.;172.000;Syd- og Sønderjylland;2014
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;379.900 kr.;157.000;Østjylland;2014
Audi Q2 1,6 TDi 116 Sport ;234.900 kr.;46.000;Nordjylland;2018
Audi SQ5 3,0 TDi 326 Competition quattro Tiptr. ;619.900 kr.;66.000;København;2016
Audi A4 3,0 TDi 218 Sport Avant quattro S-tr ;375.000 kr.;127.000;Østjylland;2017
Audi A6 allroad 3,0 TDi 313 quattro Tiptr. ;429.700 kr.;121.000;Vestjylland;2014
Audi A6 40 TDi Sport Avant S-tr. ;584.900 kr.;12.000;Nordjylland;2021
Audi A6 allroad 3,0 TDi 320 quattro Tiptr. ;499.800 kr.;132.000;Syd- og Sønderjylland;2016
Audi A6 allroad 50 TDi quattro Tiptr. ;944.900 kr.;11.000;Syd- og Sønderjylland;2021
Audi A4 2,0 TDi 136 Avant ;169.900 kr.;187.000;Syd- og Sønderjylland;2013
Audi A5 40 TDi Prestige+ Sportback S-tr. ;499.900 kr.;16.000;Syd- og Sønderjylland;2021
Audi Q5 3,0 TDi 258 quattro S-tr. ;474.900 kr.;85.000;Nordjylland;2017
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;339.800 kr.;116.000;Syd- og Sønderjylland;2016
Audi A6 50 TDi S-line Avant quattro Tiptr ;649.900 kr.;43.000;Østjylland;2019
Audi A6 50 TDi Sport Prestige Avant quattro Tiptr. ;819.000 kr.;28.000;Syd- og Sønderjylland;2021
Audi S6 3,0 TDi Avant quattro Tiptr. ;1.397.100 kr.;8.000;Syd- og Sønderjylland;2020
Audi SQ7 4,0 TDi quattro Tiptr. ;1.129.800 kr.;49.000;Syd- og Sønderjylland;2018
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;299.900 kr.;102.000;København;2016
Audi Q5 3,0 TDi 245 S-line quattro S-tr. ;329.700 kr.;137.000;Vestjylland;2013
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;349.900 kr.;108.000;Syd- og Sønderjylland;2017
Audi A6 3,0 TDi 218 Avant S-tr. ;374.900 kr.;95.000;Nordjylland;2017
Audi Q7 3,0 TDi 272 quattro Tiptr. 7prs ;724.900 kr.;66.000;Syd- og Vestsjælland;2018
Audi Q5 2,0 TDi 150 Sport ;399.900 kr.;79.000;Nordsjælland;2017
Audi A6 2,0 TDi 190 Ultra Avant quattro S-tr ;406.900 kr.;95.000;Østjylland;2017
Audi A6 40 TDi Sport Avant S-tr. ;619.900 kr.;21.000;Østjylland;2019
Audi A4 2,0 TDi 150 Avant S-tr. ;234.900 kr.;141.000;Syd- og Sønderjylland;2018
Audi A5 40 TDi Advanced Sportback S-tr. ;469.900 kr.;11.000;Syd- og Sønderjylland;2020
Audi A4 2,0 TDi 136 Ultra S-line Avant ;189.800 kr.;131.000;Østjylland;2015
Audi S6 3,0 TDi Avant quattro Tiptr. ;1.299.900 kr.;12.000;Nordjylland;2020
Audi SQ5 3,0 TDi 340 quattro Tiptr. ;629.000 kr.;52.000;Syd- og Sønderjylland;2017
Audi A4 2,0 TDi 190 Avant S-tr. ;289.900 kr.;136.000;Syd- og Sønderjylland;2018
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;359.900 kr.;72.000;Syd- og Sønderjylland;2016
Audi Q8 50 TDi quattro Tiptr. ;1.224.900 kr.;26.000;Nordjylland;2019
Audi A3 35 TDi S-line Sportback S-tr. ;396.900 kr.;6.000;København;2021
Audi A6 allroad 3,0 TDi 313 quattro Tiptr. ;339.900 kr.;205.000;Nordjylland;2014
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;359.900 kr.;107.000;Nordjylland;2017
Audi Q5 2,0 TDi 170 quattro ;199.000 kr.;177.000;Syd- og Sønderjylland;2010
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;679.900 kr.;68.000;Fyn;2018
Audi A5 40 TDi Advanced+ Sportback S-tr. ;459.900 kr.;30.000;Nordjylland;2020
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;329.000 kr.;123.000;Østjylland;2018
Audi Q3 2,0 TDi 184 Sport quattro ;234.900 kr.;78.000;Østjylland;2016
Audi A6 40 TDi Sport Avant S-tr. ;509.880 kr.;31.000;Østjylland;2019
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;369.900 kr.;187.000;Fyn;2014
Audi A6 45 TDi S-line Avant quattro Tiptr ;639.900 kr.;134.000;Nordjylland;2019
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.279.800 kr.;52.000;Syd- og Sønderjylland;2018
Audi A3 30 TDi Sport Limited Sportback ;279.900 kr.;8.000;Nordjylland;2020
Audi A4 allroad 2,0 TDi 190 quattro S-tr. ;419.900 kr.;72.000;København;2018
Audi A6 40 TDi Sport Avant S-tr. ;549.900 kr.;6.000;Østjylland;2020
Audi Q3 35 TDi Prestige S-tr. ;399.900 kr.;6.000;Nordjylland;2021
Audi Q3 2,0 TDi 140 ;194.900 kr.;83.000;Nordjylland;2012
Audi A5 2,0 TDi 190 S-line Sportback S-tr. ;499.900 kr.;76.000;Nordjylland;2018
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;449.700 kr.;106.000;Vestjylland;2017
Audi A4 2,0 TDi 150 Avant ;179.700 kr.;108.000;Vestjylland;2014
Audi A3 2,0 TDi 150 Sport Sportback S-tr. ;234.800 kr.;117.000;Syd- og Sønderjylland;2018
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;599.900 kr.;100.000;Syd- og Sønderjylland;2017
Audi Q5 2,0 TDi 177 S-line quattro S-tr. ;250.000 kr.;187.000;Syd- og Sønderjylland;2013
Audi A3 35 TDi Sport Limited Sportback S-tr. ;285.000 kr.;22.000;Østjylland;2019
Audi A5 40 TDi Prestige+ Sportback S-tr. ;483.900 kr.;10.000;Østjylland;2020
Audi A3 1,6 TDi 116 Sport Sportback ;229.900 kr.;42.000;Nordsjælland;2018
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;444.900 kr.;73.000;Syd- og Sønderjylland;2016
Audi A4 2,0 TDi 150 Avant S-tr. ;239.400 kr.;125.000;Syd- og Sønderjylland;2016
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. ;719.500 kr.;121.000;Nordjylland;2016
Audi SQ5 3,0 TDi 340 Plus quattro Tiptr. ;239.900 kr.;119.000;Østjylland;2016
Audi A6 3,0 TDi 218 S-line Avant S-tr. ;420.000 kr.;69.000;Syd- og Sønderjylland;2018
Audi A4 2,0 TDi 150 Sport S-tr. ;249.900 kr.;172.000;Østjylland;2017
Audi A4 2,0 TDi 150 S-tr. ;239.900 kr.;128.000;Syd- og Sønderjylland;2016
Audi A5 2,0 TDi 190 Sport Sportback S-tr. ;369.900 kr.;84.000;Østjylland;2017
Audi A6 3,0 TDi 272 Avant quattro S-tr. ;439.900 kr.;93.000;Syd- og Sønderjylland;2015
Audi A4 2,0 TDi 150 Sport Avant S-tr. ;279.800 kr.;182.000;Syd- og Sønderjylland;2016
Audi A4 2,0 TDi 190 S-line Avant S-tr. ;329.800 kr.;123.000;Syd- og Sønderjylland;2016
Audi A6 3,0 TDi 313 S-line Avant quattro Tiptr. ;399.900 kr.;176.404;Syd- og Sønderjylland;2013
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;469.800 kr.;115.000;Syd- og Sønderjylland;2018
Audi A5 3,0 TDi 204 Coupé Multitr. ;249.900 kr.;92.000;Fyn;2012
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;499.800 kr.;128.000;Lolland-Falster;2015
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;339.800 kr.;112.000;Østjylland;2015
Audi A3 1,6 TDi Ambition Sportback ;99.900 kr.;158.000;Syd- og Sønderjylland;2013
Audi A4 3,0 TDi 272 S-line Avant quattro Tiptr. ;399.900 kr.;130.000;Fyn;2016
Audi A3 35 TDi Prestige Sportback S-tr. ;372.900 kr.;6.000;Nordjylland;2021
Audi A6 3,0 TDi 245 quattro S-tr. ;285.000 kr.;219.000;Vestjylland;2012
Audi A4 2,0 TDi 190 Avant S-tr. ;319.000 kr.;55.000;Syd- og Sønderjylland;2017
Audi A4 35 TDi Prestige Avant S-tr. ;414.900 kr.;6.000;Nordjylland;2021
Audi A3 35 TDi Prestige Sportback S-tr. ;394.900 kr.;8.000;Nordjylland;2021
Audi A4 40 TDi Prestige+ Avant S-tr. ;469.900 kr.;15.000;Nordjylland;2021
Audi A3 35 TDi S-line Sportback S-tr. ;299.900 kr.;59.000;Syd- og Sønderjylland;2019
Audi A3 2,0 TDi 140 Sportback ;69.900 kr.;213.000;Lolland-Falster;2008
Audi A4 40 TDi Prestige+ Avant S-tr. ;434.900 kr.;7.000;Fyn;2021
Audi A5 3,0 TDi 286 S-line Sportback quattro Tiptr. ;599.900 kr.;114.000;Nordjylland;2018
Audi A5 2,0 TDi 190 S-line Coupé quattro S-tr. ;379.900 kr.;78.000;Nordjylland;2016
Audi A4 2,0 TDi 150 Sport S-tr. ;259.700 kr.;149.000;Vestjylland;2017
Audi A6 40 TDi Sport Prestige Avant S-tr. ;638.900 kr.;6.000;Østjylland;2021
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;899.900 kr.;75.000;Syd- og Sønderjylland;2018
Audi Q3 2,0 TDi 140 ;144.500 kr.;171.000;Syd- og Vestsjælland;2013
Audi A4 2,0 TDi 150 S-line Avant Multitr. ;179.000 kr.;122.000;København;2014
Audi Q8 50 TDi quattro Tiptr. ;1.725.900 kr.;6.000;Østjylland;2021
Audi A5 40 TDi Advanced+ Sportback S-tr. ;484.900 kr.;7.000;Nordjylland;2020
Audi A7 3,0 TDi 272 Sportback quattro S-tr. ;699.500 kr.;85.000;Syd- og Sønderjylland;2018
Audi A3 35 TDi Prestige S-tr. ;399.900 kr.;6.000;Østjylland;2021
