model;type;price;km;location;year;link
Audi A3;40 TFSi e Prestige Sportback S-tr.;361900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-prestige-sportback-s-tr/1739643
Audi A3;45 TFSi e S-line Sportback S-tr.;438900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/45-tfsi-e-s-line-sportback-s-tr/1740026
Audi A3;45 TFSi e S-line Sportback S-tr.;426900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/45-tfsi-e-s-line-sportback-s-tr/1767195
Audi Q3;45 TFSi e S-line+ S-tr.;599900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1772386
Audi A6;50 TFSi e Sport quattro S-tr.;549900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a6/50-tfsi-e-sport-quattro-s-tr/1754689
Audi Q3;45 TFSi e S-line+ Sportback S-tr.;438900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--sportback-s-tr/1758196
Audi A6;55 TFSi e Sport Prestige Avant quatro S-tr.;738900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a6/55-tfsi-e-sport-prestige-avant-quatro-s-tr/1772143
Audi Q3;45 TFSi e S-line+ Sportback S-tr.;438900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--sportback-s-tr/1772144
Audi Q3;45 TFSi e Attitude+ Sportback S-tr.;380900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-attitude--sportback-s-tr/1738356
Audi Q3;45 TFSi e Attitude+ Sportback S-tr.;380900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-attitude--sportback-s-tr/1739607
Audi Q3;45 TFSi e Attitude+ Sportback S-tr.;380900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-attitude--sportback-s-tr/1739641
Audi Q3;45 TFSi e S-line+ S-tr.;434900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1739644
Audi Q3;45 TFSi e S-line+ S-tr.;434900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1739680
